aid,广告ID,
title,广告名称,
pid,广告位ID,
typeid,广告类型,
areaid,地区ID,
amount,价格,
currency,单位,
url,链接地址,
introduce,广告介绍,
hits,点击次数,
username,会员名,
addtime,添加时间,
editor,编辑,
edittime,修改时间,
fromtime,开始时间,
totime,结束时间,
stat,是否统计点击,
note,备注,
code,广告代码,
text_name,文字广告名称,
text_url,文字广告链接地址,
text_title,文字广告提示文字,
text_style,文章广告颜色,
image_src,图片广告图片地址,
image_url,图片广告链接地址,
image_alt,图片广告提示文字,
flash_src,FLASH广告flash地址,
flash_url,FLASH广告链接地址,
flash_loop,FLASH广告是否循环播放,
key_moduleid,广告模块ID,
key_catid,广告行业ID,
key_word,广告关键词,
key_id,广告信息ID,
listorder,排序,
status,状态,