itemid,ID,
typeid,分类ID,
areaid,地区ID,
level,级别,
title,标题,
style,颜色,
content,内容,
groupid,限制会员组,
verify,验证方式,
choose,单选多选,
vote_min,最少选择项目,
vote_max,最多选择项目,
votes,票数,
hits,点击次数,
addtime,添加时间,
fromtime,开始时间,
totime,过期时间,
editor,编辑,
edittime,修改时间,
linkto,链接至,
linkurl,链接地址,
template_vote,投票模板,
template,投票结果模板,
s1,投票主题1,
s2,投票主题2,
s3,投票主题3,
s4,投票主题4,
s5,投票主题5,
s6,投票主题6,
s7,投票主题7,
s8,投票主题8,
s9,投票主题9,
s10,投票主题10,
v1,主题1票数,
v2,主题2票数,
v3,主题3票数,
v4,主题4票数,
v5,主题5票数,
v6,主题6票数,
v7,主题7票数,
v8,主题8票数,
v9,主题9票数,
v10,主题10票数,